Z,RC20,RC40,RC60,RC80,RC100,RC120,A20,A40,A60,A80,A100,A120
4875,-66.72185922,-33.38847246,0,33.5885548,66.94156211,100.4943324,1.68217E-07,8.41782E-08,0,8.46826E-08,1.68771E-07,2.53364E-07
4882.5,-66.7287049,-33.39531437,0,33.3406528,66.97571509,100.5557739,1.52133E-07,7.61371E-08,0,7.60125E-08,1.52696E-07,2.29255E-07
4890,-66.737022,-33.40362677,0,33.47601136,67.01720667,100.6304165,1.35998E-07,6.80706E-08,0,6.82181E-08,1.36569E-07,2.05067E-07
4897.5,-66.74717343,-33.41377239,0,33.27700826,67.06784782,100.7215184,1.20196E-07,6.01702E-08,0,5.99239E-08,1.20773E-07,1.81375E-07
4905,-66.75982547,-33.42641714,0,33.49857975,67.13096222,100.8350588,1.04817E-07,5.24813E-08,0,5.25946E-08,1.05399E-07,1.58317E-07
4912.5,-66.77634558,-33.4429276,0,33.4794343,67.21336996,100.9833061,8.96492E-08,4.48981E-08,0,4.49471E-08,9.02359E-08,1.35573E-07
4920,-66.79867934,-33.46524821,0,33.49223013,67.32477605,101.183719,7.48589E-08,3.75033E-08,0,3.75336E-08,7.54485E-08,1.13393E-07
4927.5,-66.83034497,-33.49689512,0,33.26347371,67.48273003,101.467868,6.058E-08,3.03641E-08,0,3.01525E-08,6.11714E-08,9.19781E-08
4935,-66.87944558,-33.54596654,0,34.0787372,67.72764973,101.9084613,4.66884E-08,2.34183E-08,0,2.37903E-08,4.72805E-08,7.1142E-08
4942.5,-66.96847848,-33.63494615,0,33.8583307,68.17174931,102.707362,3.29393E-08,1.65438E-08,0,1.66537E-08,3.35312E-08,5.0518E-08
4950,-67.17287952,-33.83922453,0,34.23656051,69.19130329,104.5414576,1.9656E-08,9.90196E-09,0,1.00182E-08,2.02466E-08,3.05907E-08
4957.5,-68.09832017,-34.76410942,0,36.57405793,73.80740077,112.8454424,7.02055E-09,3.58398E-09,0,3.77058E-09,7.60912E-09,1.16337E-08
4965,-64.87355379,-31.54128112,0,29.91943179,57.72229807,83.90966153,5.31294E-09,2.58313E-09,0,2.45031E-09,4.72728E-09,6.87194E-09
4972.5,-66.12255301,-32.78953053,0,32.18812505,63.95231034,95.11695024,1.77276E-08,8.79096E-09,0,8.62972E-09,1.71458E-08,2.55011E-08
4980,-66.34917032,-33.01601229,0,32.72069759,65.08268812,97.15041297,3.02349E-08,1.50452E-08,0,1.49106E-08,2.96578E-08,4.42708E-08
4987.5,-66.44335525,-33.11014116,0,33.41938617,65.55249257,97.99555757,4.26291E-08,2.1243E-08,0,2.14414E-08,4.20576E-08,6.28726E-08
4995,-66.49599817,-33.16275303,0,33.02160488,65.81508675,98.4679483,5.51877E-08,2.75231E-08,0,2.7406E-08,5.46226E-08,8.17225E-08
5002.5,-66.53015118,-33.19688617,0,32.82066407,65.98545467,98.77443211,6.81227E-08,3.39915E-08,0,3.36063E-08,6.7565E-08,1.01139E-07
5010,-66.55371998,-33.22044144,0,33.2018861,66.10302831,98.98594314,8.11424E-08,4.05024E-08,0,4.04798E-08,8.05929E-08,1.20684E-07
