Z,LR20,LR40,LR60,LR80,LR100,LR120
1567.5,2.26351E-05,4.06158E-05,5.50806E-05,6.68349E-05,7.64632E-05,8.43992E-05
1575,2.2594E-05,4.05651E-05,5.504E-05,6.68169E-05,7.64759E-05,8.44476E-05
1582.5,2.25599E-05,4.05277E-05,5.50185E-05,6.68236E-05,7.65185E-05,8.45309E-05
1590,2.25316E-05,4.05013E-05,5.5013E-05,6.68509E-05,7.6586E-05,8.46434E-05
1597.5,2.25078E-05,4.04834E-05,5.50196E-05,6.68937E-05,7.66726E-05,8.47783E-05
1605,2.24771E-05,4.04523E-05,5.50072E-05,6.69122E-05,7.67298E-05,8.48791E-05
1612.5,2.24446E-05,4.04177E-05,5.49898E-05,6.69244E-05,7.67795E-05,8.49713E-05
1620,2.24107E-05,4.03805E-05,5.49687E-05,6.69318E-05,7.68234E-05,8.50569E-05
1627.5,2.23672E-05,4.03248E-05,5.49208E-05,6.69048E-05,7.68258E-05,8.50942E-05
1635,2.23279E-05,4.02771E-05,5.48844E-05,6.68926E-05,7.68462E-05,8.51526E-05
1642.5,2.22905E-05,4.02329E-05,5.48531E-05,6.68869E-05,7.68745E-05,8.52205E-05
1650,2.22501E-05,4.01828E-05,5.48133E-05,6.68703E-05,7.68897E-05,8.52731E-05
1657.5,2.22026E-05,4.01192E-05,5.47539E-05,6.68286E-05,7.68745E-05,8.52903E-05
1665,2.21471E-05,4.00402E-05,5.46722E-05,6.67581E-05,7.68245E-05,8.5267E-05
1672.5,2.20772E-05,3.99336E-05,5.45507E-05,6.66363E-05,7.67123E-05,8.51711E-05
1680,2.20133E-05,3.98381E-05,5.44451E-05,6.65349E-05,7.66247E-05,8.5104E-05
1687.5,2.19449E-05,3.97341E-05,5.4327E-05,6.64173E-05,7.65176E-05,8.50141E-05
1695,2.1881E-05,3.96384E-05,5.4221E-05,6.63152E-05,7.64291E-05,8.4946E-05
1702.5,2.18202E-05,3.95487E-05,5.41233E-05,6.62238E-05,7.63538E-05,8.48932E-05
1710,2.17546E-05,3.94496E-05,5.40121E-05,6.61148E-05,7.62569E-05,8.48153E-05
1717.5,2.16833E-05,3.93394E-05,5.38847E-05,6.5985E-05,7.61348E-05,8.47079E-05
1725,2.16068E-05,3.92192E-05,5.37427E-05,6.58362E-05,7.59896E-05,8.45735E-05
1732.5,2.15247E-05,3.9088E-05,5.35847E-05,6.56667E-05,7.58192E-05,8.44097E-05
1740,2.14399E-05,3.89515E-05,5.34189E-05,6.5487E-05,7.56362E-05,8.42311E-05
1747.5,2.13637E-05,3.88312E-05,5.32762E-05,6.53369E-05,7.54893E-05,8.40945E-05
1755,2.12803E-05,3.86971E-05,5.31136E-05,6.5161E-05,7.53108E-05,8.39211E-05
1762.5,2.11977E-05,3.85643E-05,5.29527E-05,6.49872E-05,7.51348E-05,8.37504E-05
1770,2.1111E-05,3.84235E-05,5.27799E-05,6.4798E-05,7.494E-05,8.35577E-05
1777.5,2.10287E-05,3.8291E-05,5.2619E-05,6.46239E-05,7.47634E-05,8.33862E-05
1785,2.0945E-05,3.81554E-05,5.24535E-05,6.44438E-05,7.45794E-05,8.3206E-05
1792.5,2.08664E-05,3.80297E-05,5.23022E-05,6.42818E-05,7.44173E-05,8.30514E-05
1800,2.07928E-05,3.79134E-05,5.21642E-05,6.4137E-05,7.4276E-05,8.29211E-05
1807.5,2.07284E-05,3.78145E-05,5.20515E-05,6.40246E-05,7.41742E-05,8.28369E-05
1815,2.06653E-05,3.77181E-05,5.19422E-05,6.39166E-05,7.40775E-05,8.27588E-05
1822.5,2.06059E-05,3.76287E-05,5.1843E-05,6.38216E-05,7.39966E-05,8.26991E-05
1830,2.05541E-05,3.75538E-05,5.17647E-05,6.37537E-05,7.39487E-05,8.2678E-05
1837.5,2.0505E-05,3.74841E-05,5.16938E-05,6.36952E-05,7.39123E-05,8.26705E-05
1845,2.04645E-05,3.74307E-05,5.16465E-05,6.36672E-05,7.3913E-05,8.27065E-05
1852.5,2.04261E-05,3.73813E-05,5.1605E-05,6.36468E-05,7.39229E-05,8.27534E-05
1860,2.03898E-05,3.73359E-05,5.15693E-05,6.36339E-05,7.3942E-05,8.28112E-05
1867.5,2.03559E-05,3.72951E-05,5.15402E-05,6.36295E-05,7.39716E-05,8.28813E-05
1875,2.03417E-05,3.72924E-05,5.15663E-05,6.36967E-05,7.40883E-05,8.30538E-05
1882.5,2.03206E-05,3.72761E-05,5.15729E-05,6.37385E-05,7.41745E-05,8.31906E-05
1890,2.0303E-05,3.72666E-05,5.15892E-05,6.37932E-05,7.42763E-05,8.33459E-05
1897.5,2.02746E-05,3.72363E-05,5.15753E-05,6.38088E-05,7.43307E-05,8.34458E-05
1905,2.02313E-05,3.71771E-05,5.15195E-05,6.37701E-05,7.43191E-05,8.34685E-05
1912.5,2.01863E-05,3.71147E-05,5.1459E-05,6.37253E-05,7.43E-05,8.34825E-05
1920,2.01359E-05,3.70416E-05,5.13828E-05,6.36602E-05,7.42562E-05,8.34677E-05
1927.5,2.00923E-05,3.69817E-05,5.13259E-05,6.362E-05,7.42428E-05,8.34885E-05
1935,2.00514E-05,3.69269E-05,5.12762E-05,6.35891E-05,7.42408E-05,8.35229E-05
1942.5,2.00197E-05,3.68897E-05,5.12521E-05,6.35915E-05,7.42795E-05,8.3605E-05
1950,1.99655E-05,3.6809E-05,5.11648E-05,6.35119E-05,7.42181E-05,8.35699E-05
1957.5,1.99182E-05,3.67415E-05,5.10965E-05,6.34569E-05,7.4187E-05,8.35703E-05
1965,1.98776E-05,3.6687E-05,5.10471E-05,6.34265E-05,7.41856E-05,8.36058E-05
1972.5,1.98536E-05,3.66644E-05,5.1044E-05,6.34561E-05,7.42577E-05,8.37275E-05
1980,1.98038E-05,3.6592E-05,5.09685E-05,6.33918E-05,7.42152E-05,8.37149E-05
1987.5,1.97517E-05,3.65149E-05,5.0886E-05,6.33183E-05,7.41616E-05,8.36894E-05
1995,1.96926E-05,3.64242E-05,5.07837E-05,6.32192E-05,7.40767E-05,8.3627E-05
2002.5,1.96181E-05,3.63036E-05,5.06378E-05,6.30633E-05,7.39224E-05,8.34833E-05
2010,1.95421E-05,3.61799E-05,5.04871E-05,6.2901E-05,7.37602E-05,8.33302E-05
2017.5,1.94519E-05,3.60287E-05,5.02963E-05,6.26865E-05,7.35342E-05,8.31021E-05
2025,1.93683E-05,3.58899E-05,5.01231E-05,6.24948E-05,7.33359E-05,8.29065E-05
2032.5,1.92824E-05,3.57466E-05,4.99434E-05,6.22944E-05,7.31269E-05,8.26981E-05
