Z,N1,M1,N3,M3,N5,M5
1657.5,8.40E-06,5.55E-06,2.48E-06,1.30E-06,2.35E-06,1.30E-06
1665,7.98E-06,5.54E-06,2.47E-06,1.30E-06,2.31E-06,1.30E-06
1672.5,8.15E-06,5.53E-06,2.41E-06,1.30E-06,2.45E-06,1.30E-06
1680,8.10E-06,5.52E-06,2.45E-06,1.30E-06,2.54E-06,1.30E-06
1687.5,7.62E-06,5.52E-06,2.38E-06,1.30E-06,2.32E-06,1.30E-06
1695,8.04E-06,5.51E-06,2.38E-06,1.30E-06,2.39E-06,1.30E-06
1702.5,8.42E-06,5.50E-06,2.43E-06,1.30E-06,2.48E-06,1.30E-06
1710,8.29E-06,5.49E-06,2.46E-06,1.30E-06,2.67E-06,1.30E-06
1717.5,8.35E-06,5.48E-06,2.38E-06,1.29E-06,2.35E-06,1.29E-06
1725,8.18E-06,5.47E-06,2.39E-06,1.29E-06,2.42E-06,1.29E-06
1732.5,7.91E-06,5.46E-06,2.39E-06,1.29E-06,2.36E-06,1.29E-06
1740,8.03E-06,5.45E-06,2.40E-06,1.29E-06,2.36E-06,1.29E-06
1747.5,8.09E-06,5.44E-06,2.32E-06,1.29E-06,2.45E-06,1.29E-06
1755,7.91E-06,5.43E-06,2.33E-06,1.29E-06,2.37E-06,1.29E-06
1762.5,7.69E-06,5.43E-06,2.39E-06,1.29E-06,2.46E-06,1.29E-06
1770,7.62E-06,5.42E-06,2.29E-06,1.29E-06,2.38E-06,1.29E-06
1777.5,7.72E-06,5.41E-06,2.34E-06,1.29E-06,2.47E-06,1.29E-06
1785,8.02E-06,5.40E-06,2.31E-06,1.28E-06,2.43E-06,1.28E-06
1792.5,7.56E-06,5.39E-06,2.34E-06,1.28E-06,2.19E-06,1.28E-06
1800,7.58E-06,5.38E-06,2.25E-06,1.28E-06,2.26E-06,1.28E-06
1807.5,7.68E-06,5.37E-06,2.40E-06,1.28E-06,2.39E-06,1.28E-06
1815,7.78E-06,5.36E-06,2.34E-06,1.28E-06,2.33E-06,1.28E-06
1822.5,7.48E-06,5.36E-06,2.40E-06,1.28E-06,2.28E-06,1.28E-06
1830,7.48E-06,5.35E-06,2.30E-06,1.28E-06,2.48E-06,1.28E-06
1837.5,7.94E-06,5.34E-06,2.26E-06,1.28E-06,2.25E-06,1.28E-06
1845,7.54E-06,5.33E-06,2.32E-06,1.27E-06,1.94E-06,1.27E-06
1852.5,7.80E-06,5.32E-06,2.24E-06,1.27E-06,2.33E-06,1.27E-06
1860,7.82E-06,5.31E-06,2.25E-06,1.27E-06,2.41E-06,1.27E-06
1867.5,7.49E-06,5.30E-06,2.26E-06,1.27E-06,2.15E-06,1.27E-06
1875,7.27E-06,5.29E-06,2.29E-06,1.27E-06,2.27E-06,1.27E-06
1882.5,7.34E-06,5.29E-06,2.29E-06,1.27E-06,2.17E-06,1.27E-06
1890,7.54E-06,5.28E-06,2.24E-06,1.27E-06,2.44E-06,1.27E-06
1897.5,7.24E-06,5.27E-06,2.21E-06,1.27E-06,2.33E-06,1.27E-06
1905,7.70E-06,5.26E-06,2.31E-06,1.27E-06,2.48E-06,1.27E-06
1912.5,7.42E-06,5.25E-06,2.31E-06,1.26E-06,2.33E-06,1.26E-06
1920,7.54E-06,5.24E-06,2.29E-06,1.26E-06,2.05E-06,1.26E-06
