Z,N1,M1,N3,M3,N5,M5
22042.5,-3.32E-08,1.31E-07,1.06E-07,6.55E-08,-1.47E-07,6.55E-08
22050,-3.33E-08,1.31E-07,2.56E-07,6.54E-08,6.96E-07,6.54E-08
22057.5,7.10E-07,1.31E-07,-4.40E-08,6.53E-08,-1.47E-07,6.53E-08
22065,-3.33E-08,1.30E-07,-4.40E-08,6.53E-08,-1.47E-07,6.53E-08
22072.5,-3.33E-08,1.30E-07,-4.41E-08,6.52E-08,6.97E-07,6.52E-08
22080,-3.33E-08,1.30E-07,-4.41E-08,6.51E-08,-1.47E-07,6.51E-08
22087.5,-3.34E-08,1.30E-07,1.06E-07,6.50E-08,-1.47E-07,6.50E-08
22095,-3.34E-08,1.30E-07,-4.42E-08,6.49E-08,-1.47E-07,6.49E-08
22102.5,-3.34E-08,1.30E-07,2.57E-07,6.48E-08,6.99E-07,6.48E-08
22110,-3.34E-08,1.29E-07,2.57E-07,6.48E-08,-1.47E-07,6.48E-08
22117.5,-3.35E-08,1.29E-07,-4.43E-08,6.47E-08,-1.48E-07,6.47E-08
22125,-3.35E-08,1.29E-07,-4.43E-08,6.46E-08,-1.48E-07,6.46E-08
22132.5,-3.35E-08,1.29E-07,1.07E-07,6.45E-08,7.01E-07,6.45E-08
22140,-3.35E-08,1.29E-07,-4.43E-08,6.44E-08,1.55E-06,6.44E-08
22147.5,-3.36E-08,1.29E-07,1.07E-07,6.44E-08,-1.48E-07,6.44E-08
22155,7.16E-07,1.28E-07,1.07E-07,6.43E-08,-1.48E-07,6.43E-08
22162.5,-3.36E-08,1.28E-07,-4.44E-08,6.42E-08,-1.48E-07,6.42E-08
22170,-3.36E-08,1.28E-07,-4.45E-08,6.41E-08,7.03E-07,6.41E-08
22177.5,7.18E-07,1.28E-07,1.07E-07,6.40E-08,-1.48E-07,6.40E-08
22185,-3.37E-08,1.28E-07,-4.45E-08,6.40E-08,-1.48E-07,6.40E-08
22192.5,-3.37E-08,1.28E-07,2.59E-07,6.39E-08,-1.49E-07,6.39E-08
22200,-3.37E-08,1.27E-07,1.07E-07,6.38E-08,-1.49E-07,6.38E-08
22207.5,-3.37E-08,1.27E-07,1.07E-07,6.37E-08,7.06E-07,6.37E-08
22215,-3.38E-08,1.27E-07,1.07E-07,6.36E-08,-1.49E-07,6.36E-08
22222.5,7.21E-07,1.27E-07,1.08E-07,6.36E-08,-1.49E-07,6.36E-08
22230,-3.38E-08,1.27E-07,-4.47E-08,6.35E-08,-1.49E-07,6.35E-08
22237.5,7.22E-07,1.27E-07,-4.47E-08,6.34E-08,-1.49E-07,6.34E-08
22245,7.22E-07,1.26E-07,-4.48E-08,6.33E-08,-1.49E-07,6.33E-08
22252.5,-3.39E-08,1.26E-07,2.60E-07,6.32E-08,-1.49E-07,6.32E-08
22260,-3.39E-08,1.26E-07,1.08E-07,6.32E-08,-1.50E-07,6.32E-08
22267.5,7.24E-07,1.26E-07,-4.49E-08,6.31E-08,-1.50E-07,6.31E-08
22275,-3.39E-08,1.26E-07,-4.49E-08,6.30E-08,-1.50E-07,6.30E-08
22282.5,-3.40E-08,1.26E-07,-4.49E-08,6.29E-08,-1.50E-07,6.29E-08
22290,7.25E-07,1.25E-07,1.08E-07,6.29E-08,-1.50E-07,6.29E-08
22297.5,7.26E-07,1.25E-07,1.08E-07,6.28E-08,-1.50E-07,6.28E-08
22305,-3.40E-08,1.25E-07,1.08E-07,6.27E-08,-1.50E-07,6.27E-08
22312.5,7.26E-07,1.25E-07,2.62E-07,6.26E-08,-1.50E-07,6.26E-08
22320,-3.41E-08,1.25E-07,-4.51E-08,6.25E-08,7.13E-07,6.25E-08
22327.5,-3.41E-08,1.25E-07,-4.51E-08,6.25E-08,-1.50E-07,6.25E-08
22335,7.28E-07,1.24E-07,1.09E-07,6.24E-08,-1.51E-07,6.24E-08
22342.5,-3.41E-08,1.24E-07,-4.52E-08,6.23E-08,7.14E-07,6.23E-08
22350,-3.42E-08,1.24E-07,-4.52E-08,6.22E-08,-1.51E-07,6.22E-08
22357.5,-3.42E-08,1.24E-07,1.09E-07,6.22E-08,-1.51E-07,6.22E-08
22365,-3.42E-08,1.24E-07,-4.53E-08,6.21E-08,-1.51E-07,6.21E-08
22372.5,-3.42E-08,1.24E-07,1.09E-07,6.20E-08,-1.51E-07,6.20E-08
22380,-3.43E-08,1.24E-07,1.09E-07,6.19E-08,-1.51E-07,6.19E-08
22387.5,-3.43E-08,1.23E-07,-4.53E-08,6.18E-08,7.17E-07,6.18E-08
22395,7.32E-07,1.23E-07,-4.54E-08,6.18E-08,7.18E-07,6.18E-08
22402.5,-3.43E-08,1.23E-07,2.64E-07,6.17E-08,-1.51E-07,6.17E-08
22410,-3.44E-08,1.23E-07,-4.54E-08,6.16E-08,-1.52E-07,6.16E-08
22417.5,-3.44E-08,1.23E-07,4.19E-07,6.15E-08,-1.52E-07,6.15E-08
22425,-3.44E-08,1.23E-07,-4.55E-08,6.15E-08,-1.52E-07,6.15E-08
22432.5,-3.44E-08,1.22E-07,2.65E-07,6.14E-08,-1.52E-07,6.14E-08
22440,-3.44E-08,1.22E-07,1.10E-07,6.13E-08,7.21E-07,6.13E-08
22447.5,-3.45E-08,1.22E-07,-4.56E-08,6.12E-08,-1.52E-07,6.12E-08
22455,-3.45E-08,1.22E-07,1.10E-07,6.12E-08,-1.52E-07,6.12E-08
22462.5,-3.45E-08,1.22E-07,-4.56E-08,6.11E-08,-1.52E-07,6.11E-08
22470,-3.45E-08,1.22E-07,-4.57E-08,6.10E-08,-1.52E-07,6.10E-08
22477.5,-3.46E-08,1.21E-07,-4.57E-08,6.09E-08,-1.52E-07,6.09E-08
22485,-3.46E-08,1.21E-07,-4.57E-08,6.08E-08,-1.53E-07,6.08E-08
22492.5,-3.46E-08,1.21E-07,1.10E-07,6.08E-08,-1.53E-07,6.08E-08
22500,-3.46E-08,1.21E-07,2.66E-07,6.07E-08,-1.53E-07,6.07E-08
22507.5,-3.47E-08,1.21E-07,1.10E-07,6.06E-08,-1.53E-07,6.06E-08
22515,-3.47E-08,1.21E-07,1.10E-07,6.05E-08,-1.53E-07,6.05E-08
22522.5,-3.47E-08,1.21E-07,-4.59E-08,6.05E-08,-1.53E-07,6.05E-08
22530,-3.47E-08,1.20E-07,1.11E-07,6.04E-08,-1.53E-07,6.04E-08
22537.5,-3.47E-08,1.20E-07,1.11E-07,6.03E-08,7.27E-07,6.03E-08
22545,-3.48E-08,1.20E-07,-4.60E-08,6.02E-08,-1.53E-07,6.02E-08
22552.5,7.42E-07,1.20E-07,2.68E-07,6.02E-08,-1.53E-07,6.02E-08
22560,-3.48E-08,1.20E-07,1.11E-07,6.01E-08,-1.54E-07,6.01E-08
22567.5,-3.48E-08,1.20E-07,-4.61E-08,6.00E-08,-1.54E-07,6.00E-08
22575,7.44E-07,1.19E-07,2.68E-07,5.99E-08,-1.54E-07,5.99E-08
22582.5,7.44E-07,1.19E-07,1.11E-07,5.99E-08,-1.54E-07,5.99E-08
22590,-3.49E-08,1.19E-07,-4.62E-08,5.98E-08,-1.54E-07,5.98E-08
22597.5,-3.49E-08,1.19E-07,5.83E-07,5.97E-08,-1.54E-07,5.97E-08
22605,-3.50E-08,1.19E-07,4.26E-07,5.96E-08,-1.54E-07,5.96E-08
22612.5,-3.50E-08,1.19E-07,2.69E-07,5.96E-08,-1.54E-07,5.96E-08
22620,-3.50E-08,1.19E-07,1.11E-07,5.95E-08,-1.54E-07,5.95E-08
22627.5,-3.50E-08,1.18E-07,-4.63E-08,5.94E-08,-1.54E-07,5.94E-08
22635,-3.50E-08,1.18E-07,-4.64E-08,5.94E-08,-1.55E-07,5.94E-08
22642.5,-3.51E-08,1.18E-07,1.12E-07,5.93E-08,-1.55E-07,5.93E-08
22650,-3.51E-08,1.18E-07,-4.64E-08,5.92E-08,-1.55E-07,5.92E-08
22657.5,-3.51E-08,1.18E-07,-4.64E-08,5.91E-08,-1.55E-07,5.91E-08
22665,-3.51E-08,1.18E-07,-4.65E-08,5.91E-08,-1.55E-07,5.91E-08
22672.5,-3.52E-08,1.17E-07,1.12E-07,5.90E-08,-1.55E-07,5.90E-08
22680,-3.52E-08,1.17E-07,1.12E-07,5.89E-08,-1.55E-07,5.89E-08
22687.5,-3.52E-08,1.17E-07,2.71E-07,5.88E-08,-1.55E-07,5.88E-08
22695,-3.52E-08,1.17E-07,1.12E-07,5.88E-08,-1.55E-07,5.88E-08
22702.5,-3.53E-08,1.17E-07,1.12E-07,5.87E-08,7.38E-07,5.87E-08
22710,-3.53E-08,1.17E-07,2.71E-07,5.86E-08,-1.56E-07,5.86E-08
22717.5,-3.53E-08,1.17E-07,1.12E-07,5.85E-08,-1.56E-07,5.85E-08
22725,-3.53E-08,1.16E-07,-4.67E-08,5.85E-08,1.63E-06,5.85E-08
22732.5,-3.53E-08,1.16E-07,1.13E-07,5.84E-08,-1.56E-07,5.84E-08
22740,-3.54E-08,1.16E-07,7.50E-07,5.83E-08,-1.56E-07,5.83E-08
22747.5,-3.54E-08,1.16E-07,1.13E-07,5.83E-08,-1.56E-07,5.83E-08
22755,-3.54E-08,1.16E-07,2.72E-07,5.82E-08,7.41E-07,5.82E-08
22762.5,-3.54E-08,1.16E-07,-4.69E-08,5.81E-08,-1.56E-07,5.81E-08
22770,7.57E-07,1.16E-07,-4.69E-08,5.80E-08,-1.56E-07,5.80E-08
22777.5,-3.55E-08,1.15E-07,-4.69E-08,5.80E-08,-1.57E-07,5.80E-08
22785,-3.55E-08,1.15E-07,2.73E-07,5.79E-08,-1.57E-07,5.79E-08
22792.5,-3.55E-08,1.15E-07,-4.70E-08,5.78E-08,-1.57E-07,5.78E-08
22800,-3.56E-08,1.15E-07,2.73E-07,5.77E-08,7.44E-07,5.77E-08
22807.5,-3.56E-08,1.15E-07,1.13E-07,5.77E-08,-1.57E-07,5.77E-08
22815,-3.56E-08,1.15E-07,-4.71E-08,5.76E-08,-1.57E-07,5.76E-08
22822.5,-3.56E-08,1.15E-07,2.74E-07,5.75E-08,-1.57E-07,5.75E-08
22830,-3.57E-08,1.14E-07,-4.72E-08,5.75E-08,-1.57E-07,5.75E-08
22837.5,-3.57E-08,1.14E-07,1.14E-07,5.74E-08,-1.57E-07,5.74E-08
22845,-3.57E-08,1.14E-07,-4.72E-08,5.73E-08,-1.57E-07,5.73E-08
22852.5,7.62E-07,1.14E-07,1.14E-07,5.72E-08,7.47E-07,5.72E-08
22860,-3.57E-08,1.14E-07,-4.73E-08,5.72E-08,-1.58E-07,5.72E-08
22867.5,-3.58E-08,1.14E-07,-4.73E-08,5.71E-08,-1.58E-07,5.71E-08
22875,-3.58E-08,1.13E-07,2.75E-07,5.70E-08,7.49E-07,5.70E-08
22882.5,-3.58E-08,1.13E-07,-4.74E-08,5.70E-08,-1.58E-07,5.70E-08
22890,-3.58E-08,1.13E-07,2.76E-07,5.69E-08,-1.58E-07,5.69E-08
22897.5,-3.59E-08,1.13E-07,-4.74E-08,5.68E-08,-1.58E-07,5.68E-08
22905,-3.59E-08,1.13E-07,1.14E-07,5.67E-08,-1.58E-07,5.67E-08
22912.5,-3.59E-08,1.13E-07,-4.75E-08,5.67E-08,-1.58E-07,5.67E-08
22920,-3.59E-08,1.13E-07,-4.75E-08,5.66E-08,-1.58E-07,5.66E-08
22927.5,-3.60E-08,1.12E-07,2.76E-07,5.65E-08,-1.59E-07,5.65E-08
22935,-3.60E-08,1.12E-07,1.15E-07,5.65E-08,-1.59E-07,5.65E-08
22942.5,-3.60E-08,1.12E-07,-4.76E-08,5.64E-08,-1.59E-07,5.64E-08
22950,-3.60E-08,1.12E-07,1.15E-07,5.63E-08,-1.59E-07,5.63E-08
22957.5,-3.61E-08,1.12E-07,-4.77E-08,5.63E-08,1.67E-06,5.63E-08
22965,-3.61E-08,1.12E-07,1.15E-07,5.62E-08,-1.59E-07,5.62E-08
22972.5,7.70E-07,1.12E-07,-4.77E-08,5.61E-08,-1.59E-07,5.61E-08
22980,-3.61E-08,1.11E-07,2.78E-07,5.60E-08,-1.59E-07,5.60E-08
22987.5,-3.61E-08,1.11E-07,-4.78E-08,5.60E-08,-1.59E-07,5.60E-08
22995,-3.62E-08,1.11E-07,4.41E-07,5.59E-08,-1.60E-07,5.59E-08
23002.5,7.72E-07,1.11E-07,-4.79E-08,5.58E-08,-1.60E-07,5.58E-08
23010,-3.62E-08,1.11E-07,1.15E-07,5.58E-08,-1.60E-07,5.58E-08
23017.5,7.73E-07,1.11E-07,1.15E-07,5.57E-08,-1.60E-07,5.57E-08
23025,-3.63E-08,1.11E-07,-4.80E-08,5.56E-08,-1.60E-07,5.56E-08
23032.5,-3.63E-08,1.10E-07,2.79E-07,5.56E-08,-1.60E-07,5.56E-08
23040,-3.63E-08,1.10E-07,1.16E-07,5.55E-08,-1.60E-07,5.55E-08
23047.5,-3.63E-08,1.10E-07,-4.81E-08,5.54E-08,-1.60E-07,5.54E-08
23055,-3.64E-08,1.10E-07,-4.81E-08,5.54E-08,7.61E-07,5.54E-08
23062.5,-3.64E-08,1.10E-07,2.80E-07,5.53E-08,-1.60E-07,5.53E-08
23070,-3.64E-08,1.10E-07,-4.81E-08,5.52E-08,-1.61E-07,5.52E-08
23077.5,-3.64E-08,1.10E-07,1.16E-07,5.51E-08,-1.61E-07,5.51E-08
23085,7.78E-07,1.09E-07,-4.82E-08,5.51E-08,-1.61E-07,5.51E-08
23092.5,-3.65E-08,1.09E-07,-4.82E-08,5.50E-08,-1.61E-07,5.50E-08
23100,-3.65E-08,1.09E-07,1.16E-07,5.49E-08,-1.61E-07,5.49E-08
23107.5,-3.65E-08,1.09E-07,-4.83E-08,5.49E-08,-1.61E-07,5.49E-08
23115,7.80E-07,1.09E-07,-4.83E-08,5.48E-08,-1.61E-07,5.48E-08
23122.5,7.80E-07,1.09E-07,1.16E-07,5.47E-08,-1.61E-07,5.47E-08
23130,-3.66E-08,1.09E-07,-4.84E-08,5.47E-08,7.66E-07,5.47E-08
23137.5,-3.66E-08,1.09E-07,-4.84E-08,5.46E-08,-1.62E-07,5.46E-08
23145,-3.66E-08,1.08E-07,1.17E-07,5.45E-08,7.67E-07,5.45E-08
23152.5,7.82E-07,1.08E-07,1.17E-07,5.45E-08,-1.62E-07,5.45E-08
23160,-3.67E-08,1.08E-07,2.82E-07,5.44E-08,-1.62E-07,5.44E-08
23167.5,-3.67E-08,1.08E-07,-4.86E-08,5.43E-08,-1.62E-07,5.43E-08
23175,-3.67E-08,1.08E-07,-4.86E-08,5.43E-08,-1.62E-07,5.43E-08
23182.5,-3.68E-08,1.08E-07,-4.86E-08,5.42E-08,-1.62E-07,5.42E-08
23190,-3.68E-08,1.08E-07,-4.87E-08,5.41E-08,-1.62E-07,5.41E-08
23197.5,-3.68E-08,1.07E-07,-4.87E-08,5.41E-08,-1.62E-07,5.41E-08
23205,-3.68E-08,1.07E-07,-4.87E-08,5.40E-08,-1.62E-07,5.40E-08
23212.5,-3.69E-08,1.07E-07,-4.87E-08,5.39E-08,7.71E-07,5.39E-08
23220,-3.69E-08,1.07E-07,1.17E-07,5.39E-08,7.72E-07,5.39E-08
23227.5,-3.69E-08,1.07E-07,-4.88E-08,5.38E-08,-1.63E-07,5.38E-08
23235,-3.69E-08,1.07E-07,-4.88E-08,5.37E-08,-1.63E-07,5.37E-08
23242.5,-3.70E-08,1.07E-07,-4.89E-08,5.37E-08,-1.63E-07,5.37E-08
23250,-3.70E-08,1.06E-07,-4.89E-08,5.36E-08,-1.63E-07,5.36E-08
23257.5,-3.70E-08,1.06E-07,-4.89E-08,5.35E-08,-1.63E-07,5.35E-08
23265,-3.70E-08,1.06E-07,1.18E-07,5.35E-08,-1.63E-07,5.35E-08
23272.5,-3.70E-08,1.06E-07,-4.90E-08,5.34E-08,-1.63E-07,5.34E-08
23280,7.91E-07,1.06E-07,1.18E-07,5.33E-08,-1.64E-07,5.33E-08
23287.5,-3.71E-08,1.06E-07,-4.91E-08,5.33E-08,-1.64E-07,5.33E-08
23295,-3.71E-08,1.06E-07,-4.91E-08,5.32E-08,-1.64E-07,5.32E-08
23302.5,-3.71E-08,1.06E-07,-4.91E-08,5.31E-08,-1.64E-07,5.31E-08
23310,-3.72E-08,1.05E-07,1.18E-07,5.31E-08,-1.64E-07,5.31E-08
23317.5,-3.72E-08,1.05E-07,-4.92E-08,5.30E-08,-1.64E-07,5.30E-08
23325,7.94E-07,1.05E-07,1.18E-07,5.29E-08,-1.64E-07,5.29E-08
23332.5,-3.72E-08,1.05E-07,-4.93E-08,5.29E-08,-1.64E-07,5.29E-08
23340,-3.73E-08,1.05E-07,-4.93E-08,5.28E-08,-1.64E-07,5.28E-08
23347.5,-3.73E-08,1.05E-07,1.19E-07,5.27E-08,-1.64E-07,5.27E-08
23355,-3.73E-08,1.05E-07,1.19E-07,5.27E-08,-1.65E-07,5.27E-08
23362.5,-3.73E-08,1.04E-07,1.19E-07,5.26E-08,-1.65E-07,5.26E-08
23370,-3.74E-08,1.04E-07,-4.94E-08,5.25E-08,7.82E-07,5.25E-08
23377.5,-3.74E-08,1.04E-07,1.19E-07,5.25E-08,-1.65E-07,5.25E-08
23385,-3.74E-08,1.04E-07,-4.95E-08,5.24E-08,-1.65E-07,5.24E-08
23392.5,-3.74E-08,1.04E-07,-4.95E-08,5.23E-08,-1.65E-07,5.23E-08
23400,-3.75E-08,1.04E-07,-4.95E-08,5.23E-08,-1.65E-07,5.23E-08
23407.5,-3.75E-08,1.04E-07,2.88E-07,5.22E-08,7.84E-07,5.22E-08
23415,-3.75E-08,1.04E-07,-4.96E-08,5.22E-08,7.85E-07,5.22E-08
23422.5,-3.75E-08,1.03E-07,1.19E-07,5.21E-08,-1.66E-07,5.21E-08
23430,8.01E-07,1.03E-07,-4.97E-08,5.20E-08,-1.66E-07,5.20E-08
23437.5,-3.76E-08,1.03E-07,2.89E-07,5.20E-08,-1.66E-07,5.20E-08
23445,-3.76E-08,1.03E-07,-4.97E-08,5.19E-08,-1.66E-07,5.19E-08
23452.5,-3.76E-08,1.03E-07,-4.98E-08,5.18E-08,-1.66E-07,5.18E-08
23460,-3.76E-08,1.03E-07,-4.98E-08,5.18E-08,-1.66E-07,5.18E-08
23467.5,-3.77E-08,1.03E-07,1.20E-07,5.17E-08,-1.66E-07,5.17E-08
23475,-3.77E-08,1.02E-07,1.20E-07,5.16E-08,-1.66E-07,5.16E-08
23482.5,-3.77E-08,1.02E-07,2.90E-07,5.16E-08,-1.66E-07,5.16E-08
23490,8.05E-07,1.02E-07,2.90E-07,5.15E-08,-1.66E-07,5.15E-08
23497.5,-3.78E-08,1.02E-07,2.90E-07,5.14E-08,-1.67E-07,5.14E-08
23505,-3.78E-08,1.02E-07,4.61E-07,5.14E-08,-1.67E-07,5.14E-08
23512.5,-3.78E-08,1.02E-07,-5.00E-08,5.13E-08,-1.67E-07,5.13E-08
23520,-3.78E-08,1.02E-07,-5.00E-08,5.13E-08,7.92E-07,5.13E-08
23527.5,-3.79E-08,1.02E-07,1.21E-07,5.12E-08,-1.67E-07,5.12E-08
23535,-3.79E-08,1.01E-07,1.21E-07,5.11E-08,-1.67E-07,5.11E-08
23542.5,-3.79E-08,1.01E-07,-5.01E-08,5.11E-08,7.93E-07,5.11E-08
23550,-3.79E-08,1.01E-07,-5.02E-08,5.10E-08,-1.67E-07,5.10E-08
23557.5,-3.80E-08,1.01E-07,2.92E-07,5.09E-08,-1.67E-07,5.09E-08
23565,-3.80E-08,1.01E-07,1.21E-07,5.09E-08,-1.68E-07,5.09E-08
23572.5,-3.80E-08,1.01E-07,1.21E-07,5.08E-08,-1.68E-07,5.08E-08
23580,-3.80E-08,1.01E-07,1.21E-07,5.07E-08,-1.68E-07,5.07E-08
23587.5,-3.81E-08,1.01E-07,-5.03E-08,5.07E-08,-1.68E-07,5.07E-08
23595,-3.81E-08,1.00E-07,-5.04E-08,5.06E-08,-1.68E-07,5.06E-08
23602.5,-3.81E-08,1.00E-07,-5.04E-08,5.06E-08,-1.68E-07,5.06E-08
23610,8.13E-07,1.00E-07,2.93E-07,5.05E-08,-1.68E-07,5.05E-08
23617.5,8.14E-07,1.00E-07,2.93E-07,5.04E-08,7.98E-07,5.04E-08
23625,-3.82E-08,9.99E-08,-5.05E-08,5.04E-08,-1.68E-07,5.04E-08
23632.5,-3.82E-08,9.97E-08,1.22E-07,5.03E-08,-1.69E-07,5.03E-08
23640,-3.82E-08,9.96E-08,-5.06E-08,5.02E-08,-1.69E-07,5.02E-08
23647.5,-3.83E-08,9.95E-08,4.66E-07,5.02E-08,-1.69E-07,5.02E-08
23655,-3.83E-08,9.94E-08,-5.06E-08,5.01E-08,-1.69E-07,5.01E-08
23662.5,-3.83E-08,9.92E-08,-5.07E-08,5.01E-08,-1.69E-07,5.01E-08
23670,-3.83E-08,9.91E-08,-5.07E-08,5.00E-08,-1.69E-07,5.00E-08
23677.5,8.18E-07,9.90E-08,-5.07E-08,4.99E-08,-1.69E-07,4.99E-08
23685,-3.84E-08,9.89E-08,-5.08E-08,4.99E-08,-1.69E-07,4.99E-08
23692.5,-3.84E-08,9.87E-08,-5.08E-08,4.98E-08,-1.69E-07,4.98E-08
23700,-3.84E-08,9.86E-08,2.95E-07,4.98E-08,-1.69E-07,4.98E-08
23707.5,-3.84E-08,9.85E-08,1.22E-07,4.97E-08,-1.70E-07,4.97E-08
23715,-3.85E-08,9.84E-08,-5.09E-08,4.96E-08,-1.70E-07,4.96E-08
23722.5,-3.85E-08,9.82E-08,1.23E-07,4.96E-08,-1.70E-07,4.96E-08
23730,-3.85E-08,9.81E-08,-5.09E-08,4.95E-08,-1.70E-07,4.95E-08
23737.5,8.22E-07,9.80E-08,-5.10E-08,4.94E-08,-1.70E-07,4.94E-08
23745,-3.86E-08,9.79E-08,1.23E-07,4.94E-08,-1.70E-07,4.94E-08
23752.5,-3.86E-08,9.77E-08,2.97E-07,4.93E-08,-1.70E-07,4.93E-08
23760,-3.86E-08,9.76E-08,-5.11E-08,4.93E-08,-1.70E-07,4.93E-08
23767.5,8.24E-07,9.75E-08,1.23E-07,4.92E-08,8.08E-07,4.92E-08
23775,8.25E-07,9.74E-08,-5.11E-08,4.91E-08,8.09E-07,4.91E-08
23782.5,-3.87E-08,9.72E-08,-5.12E-08,4.91E-08,8.09E-07,4.91E-08
23790,-3.87E-08,9.71E-08,-5.12E-08,4.90E-08,8.10E-07,4.90E-08
23797.5,-3.87E-08,9.70E-08,-5.12E-08,4.90E-08,-1.71E-07,4.90E-08
23805,-3.88E-08,9.69E-08,1.23E-07,4.89E-08,-1.71E-07,4.89E-08
23812.5,-3.88E-08,9.68E-08,1.23E-07,4.88E-08,-1.71E-07,4.88E-08
23820,8.28E-07,9.66E-08,-5.13E-08,4.88E-08,-1.71E-07,4.88E-08
23827.5,-3.88E-08,9.65E-08,-5.14E-08,4.87E-08,-1.71E-07,4.87E-08
23835,-3.89E-08,9.64E-08,1.24E-07,4.87E-08,8.13E-07,4.87E-08
23842.5,8.30E-07,9.63E-08,2.99E-07,4.86E-08,1.80E-06,4.86E-08
23850,-3.89E-08,9.61E-08,2.99E-07,4.85E-08,-1.72E-07,4.85E-08
23857.5,-3.89E-08,9.60E-08,-5.15E-08,4.85E-08,-1.72E-07,4.85E-08
23865,-3.90E-08,9.59E-08,1.24E-07,4.84E-08,-1.72E-07,4.84E-08
23872.5,-3.90E-08,9.58E-08,1.24E-07,4.84E-08,-1.72E-07,4.84E-08
23880,-3.90E-08,9.57E-08,3.00E-07,4.83E-08,-1.72E-07,4.83E-08
23887.5,-3.90E-08,9.55E-08,-5.16E-08,4.82E-08,-1.72E-07,4.82E-08
23895,-3.91E-08,9.54E-08,3.00E-07,4.82E-08,-1.72E-07,4.82E-08
23902.5,-3.91E-08,9.53E-08,-5.17E-08,4.81E-08,-1.72E-07,4.81E-08
23910,2.58E-06,9.52E-08,3.01E-07,4.81E-08,8.18E-07,4.81E-08
23917.5,-3.91E-08,9.50E-08,1.25E-07,4.80E-08,-1.73E-07,4.80E-08
23925,-3.92E-08,9.49E-08,1.25E-07,4.79E-08,-1.73E-07,4.79E-08
23932.5,-3.92E-08,9.48E-08,-5.18E-08,4.79E-08,-1.73E-07,4.79E-08
23940,-3.92E-08,9.47E-08,1.25E-07,4.78E-08,-1.73E-07,4.78E-08
23947.5,-3.92E-08,9.46E-08,-5.19E-08,4.78E-08,-1.73E-07,4.78E-08
23955,-3.93E-08,9.44E-08,3.02E-07,4.77E-08,-1.73E-07,4.77E-08
23962.5,-3.93E-08,9.43E-08,1.25E-07,4.76E-08,-1.73E-07,4.76E-08
23970,-3.93E-08,9.42E-08,4.79E-07,4.76E-08,-1.73E-07,4.76E-08
23977.5,-3.93E-08,9.41E-08,3.02E-07,4.75E-08,-1.73E-07,4.75E-08
23985,-3.94E-08,9.40E-08,1.25E-07,4.75E-08,8.23E-07,4.75E-08
23992.5,-3.94E-08,9.38E-08,1.25E-07,4.74E-08,-1.74E-07,4.74E-08
24000,-3.94E-08,9.37E-08,-5.21E-08,4.74E-08,8.24E-07,4.74E-08
24007.5,-3.94E-08,9.36E-08,3.03E-07,4.73E-08,-1.74E-07,4.73E-08
24015,-3.94E-08,9.35E-08,-5.22E-08,4.72E-08,-1.74E-07,4.72E-08
24022.5,-3.95E-08,9.34E-08,-5.22E-08,4.72E-08,1.83E-06,4.72E-08
24030,-3.95E-08,9.33E-08,1.26E-07,4.71E-08,8.26E-07,4.71E-08
24037.5,-3.95E-08,9.31E-08,-5.23E-08,4.71E-08,-1.74E-07,4.71E-08
24045,-3.95E-08,9.30E-08,1.26E-07,4.70E-08,-1.74E-07,4.70E-08
24052.5,-3.96E-08,9.29E-08,1.26E-07,4.69E-08,8.28E-07,4.69E-08
24060,-3.96E-08,9.28E-08,-5.24E-08,4.69E-08,-1.75E-07,4.69E-08
24067.5,-3.96E-08,9.27E-08,1.26E-07,4.68E-08,-1.75E-07,4.68E-08
24075,-3.96E-08,9.25E-08,-5.24E-08,4.68E-08,-1.75E-07,4.68E-08
24082.5,-3.97E-08,9.24E-08,1.26E-07,4.67E-08,-1.75E-07,4.67E-08
24090,-3.97E-08,9.23E-08,-5.25E-08,4.67E-08,-1.75E-07,4.67E-08
24097.5,-3.97E-08,9.22E-08,1.26E-07,4.66E-08,1.84E-06,4.66E-08
24105,-3.97E-08,9.21E-08,1.27E-07,4.65E-08,-1.75E-07,4.65E-08
24112.5,-3.98E-08,9.20E-08,1.27E-07,4.65E-08,-1.75E-07,4.65E-08
24120,8.49E-07,9.18E-08,1.27E-07,4.64E-08,-1.76E-07,4.64E-08
24127.5,-3.98E-08,9.17E-08,-5.27E-08,4.64E-08,-1.76E-07,4.64E-08
24135,-3.98E-08,9.16E-08,-5.27E-08,4.63E-08,-1.76E-07,4.63E-08
24142.5,-3.99E-08,9.15E-08,-5.27E-08,4.63E-08,-1.76E-07,4.63E-08
24150,-3.99E-08,9.14E-08,-5.28E-08,4.62E-08,-1.76E-07,4.62E-08
24157.5,-3.99E-08,9.13E-08,-5.28E-08,4.61E-08,8.35E-07,4.61E-08
24165,-3.99E-08,9.12E-08,-5.28E-08,4.61E-08,-1.76E-07,4.61E-08
24172.5,-4.00E-08,9.10E-08,1.27E-07,4.60E-08,8.36E-07,4.60E-08
24180,-4.00E-08,9.09E-08,1.27E-07,4.60E-08,-1.76E-07,4.60E-08
24187.5,-4.00E-08,9.08E-08,-5.29E-08,4.59E-08,-1.77E-07,4.59E-08
24195,-4.00E-08,9.07E-08,-5.30E-08,4.59E-08,1.85E-06,4.59E-08
24202.5,-4.01E-08,9.06E-08,1.28E-07,4.58E-08,-1.77E-07,4.58E-08
24210,1.75E-06,9.05E-08,-5.30E-08,4.57E-08,-1.77E-07,4.57E-08
