Z,LR20,LR40,LR60,LR80,LR100,LR120
1267.5,2.87E-06,2.02E-06,1.52E-06,1.19E-06,9.63E-07,7.95E-07
1275,2.86E-06,2.02E-06,1.51E-06,1.19E-06,9.61E-07,7.95E-07
1282.5,2.86E-06,2.01E-06,1.51E-06,1.19E-06,9.61E-07,7.95E-07
1290,2.85E-06,2.01E-06,1.51E-06,1.19E-06,9.60E-07,7.94E-07
1297.5,2.84E-06,2.00E-06,1.51E-06,1.19E-06,9.59E-07,7.93E-07
1305,2.83E-06,2.00E-06,1.51E-06,1.18E-06,9.58E-07,7.92E-07
1312.5,2.82E-06,1.99E-06,1.50E-06,1.18E-06,9.58E-07,7.92E-07
1320,2.81E-06,1.99E-06,1.50E-06,1.18E-06,9.59E-07,7.93E-07
1327.5,2.81E-06,1.99E-06,1.50E-06,1.18E-06,9.59E-07,7.94E-07
1335,2.80E-06,1.99E-06,1.50E-06,1.18E-06,9.60E-07,7.95E-07
1342.5,2.79E-06,1.98E-06,1.50E-06,1.18E-06,9.61E-07,7.96E-07
1350,2.79E-06,1.98E-06,1.50E-06,1.18E-06,9.62E-07,7.97E-07
1357.5,2.78E-06,1.98E-06,1.50E-06,1.18E-06,9.62E-07,7.98E-07
1365,2.77E-06,1.97E-06,1.50E-06,1.18E-06,9.61E-07,7.98E-07
1372.5,2.76E-06,1.97E-06,1.50E-06,1.18E-06,9.61E-07,7.98E-07
1380,2.76E-06,1.97E-06,1.49E-06,1.18E-06,9.62E-07,7.99E-07
1387.5,2.75E-06,1.96E-06,1.49E-06,1.18E-06,9.62E-07,7.99E-07
1395,2.74E-06,1.96E-06,1.49E-06,1.18E-06,9.60E-07,7.98E-07
1402.5,2.73E-06,1.95E-06,1.49E-06,1.18E-06,9.58E-07,7.95E-07
1410,2.72E-06,1.95E-06,1.48E-06,1.17E-06,9.55E-07,7.93E-07
1417.5,2.70E-06,1.94E-06,1.48E-06,1.17E-06,9.51E-07,7.90E-07
1425,2.69E-06,1.93E-06,1.47E-06,1.16E-06,9.48E-07,7.86E-07
1432.5,2.68E-06,1.92E-06,1.46E-06,1.16E-06,9.44E-07,7.83E-07
1440,2.67E-06,1.91E-06,1.46E-06,1.16E-06,9.40E-07,7.79E-07
1447.5,2.65E-06,1.91E-06,1.45E-06,1.15E-06,9.36E-07,7.76E-07
1455,2.64E-06,1.90E-06,1.45E-06,1.15E-06,9.33E-07,7.73E-07
1462.5,2.63E-06,1.89E-06,1.44E-06,1.14E-06,9.30E-07,7.70E-07
1470,2.62E-06,1.89E-06,1.44E-06,1.14E-06,9.29E-07,7.69E-07
1477.5,2.62E-06,1.89E-06,1.44E-06,1.14E-06,9.29E-07,7.70E-07
1485,2.61E-06,1.88E-06,1.44E-06,1.14E-06,9.31E-07,7.72E-07
1492.5,2.60E-06,1.88E-06,1.44E-06,1.14E-06,9.33E-07,7.74E-07
1500,2.60E-06,1.88E-06,1.44E-06,1.15E-06,9.37E-07,7.78E-07
1507.5,2.60E-06,1.89E-06,1.45E-06,1.15E-06,9.42E-07,7.83E-07
1515,2.60E-06,1.89E-06,1.45E-06,1.16E-06,9.47E-07,7.89E-07
1522.5,2.60E-06,1.89E-06,1.46E-06,1.16E-06,9.53E-07,7.95E-07
1530,2.60E-06,1.89E-06,1.46E-06,1.17E-06,9.58E-07,8.01E-07
1537.5,2.59E-06,1.90E-06,1.46E-06,1.17E-06,9.64E-07,8.06E-07
1545,2.59E-06,1.90E-06,1.47E-06,1.18E-06,9.68E-07,8.11E-07
1552.5,2.59E-06,1.90E-06,1.47E-06,1.18E-06,9.71E-07,8.14E-07
1560,2.58E-06,1.89E-06,1.47E-06,1.18E-06,9.71E-07,8.15E-07
1567.5,2.57E-06,1.89E-06,1.47E-06,1.18E-06,9.72E-07,8.15E-07
1575,2.56E-06,1.89E-06,1.46E-06,1.18E-06,9.72E-07,8.17E-07
1582.5,2.56E-06,1.88E-06,1.46E-06,1.18E-06,9.73E-07,8.17E-07
1590,2.55E-06,1.88E-06,1.46E-06,1.18E-06,9.74E-07,8.19E-07
1597.5,2.55E-06,1.88E-06,1.46E-06,1.18E-06,9.77E-07,8.22E-07
1605,2.54E-06,1.88E-06,1.46E-06,1.18E-06,9.79E-07,8.25E-07
1612.5,2.54E-06,1.88E-06,1.47E-06,1.19E-06,9.83E-07,8.29E-07
1620,2.53E-06,1.88E-06,1.47E-06,1.19E-06,9.87E-07,8.34E-07
1627.5,2.53E-06,1.88E-06,1.47E-06,1.19E-06,9.93E-07,8.40E-07
1635,2.53E-06,1.88E-06,1.48E-06,1.20E-06,1.00E-06,8.47E-07
1642.5,2.53E-06,1.89E-06,1.48E-06,1.21E-06,1.01E-06,8.54E-07
1650,2.53E-06,1.89E-06,1.49E-06,1.21E-06,1.01E-06,8.60E-07
1657.5,2.53E-06,1.89E-06,1.49E-06,1.22E-06,1.02E-06,8.66E-07
1665,2.52E-06,1.89E-06,1.49E-06,1.22E-06,1.02E-06,8.69E-07
1672.5,2.51E-06,1.89E-06,1.49E-06,1.22E-06,1.02E-06,8.70E-07
1680,2.50E-06,1.88E-06,1.49E-06,1.22E-06,1.02E-06,8.70E-07
1687.5,2.49E-06,1.87E-06,1.48E-06,1.21E-06,1.02E-06,8.69E-07
1695,2.48E-06,1.86E-06,1.48E-06,1.21E-06,1.01E-06,8.65E-07
1702.5,2.46E-06,1.85E-06,1.47E-06,1.20E-06,1.01E-06,8.60E-07
1710,2.45E-06,1.84E-06,1.46E-06,1.20E-06,1.00E-06,8.55E-07
1717.5,2.43E-06,1.83E-06,1.45E-06,1.19E-06,9.97E-07,8.51E-07
1725,2.42E-06,1.82E-06,1.44E-06,1.18E-06,9.93E-07,8.47E-07
1732.5,2.41E-06,1.81E-06,1.44E-06,1.18E-06,9.90E-07,8.44E-07
1740,2.39E-06,1.81E-06,1.43E-06,1.18E-06,9.87E-07,8.42E-07
1747.5,2.38E-06,1.80E-06,1.43E-06,1.17E-06,9.85E-07,8.41E-07
1755,2.37E-06,1.79E-06,1.43E-06,1.17E-06,9.83E-07,8.40E-07
1762.5,2.37E-06,1.79E-06,1.42E-06,1.17E-06,9.84E-07,8.41E-07
1770,2.36E-06,1.79E-06,1.42E-06,1.17E-06,9.85E-07,8.43E-07
1777.5,2.35E-06,1.79E-06,1.42E-06,1.17E-06,9.88E-07,8.46E-07
1785,2.35E-06,1.78E-06,1.42E-06,1.17E-06,9.89E-07,8.48E-07
1792.5,2.34E-06,1.78E-06,1.42E-06,1.17E-06,9.89E-07,8.49E-07
1800,2.33E-06,1.77E-06,1.42E-06,1.17E-06,9.88E-07,8.48E-07
1807.5,2.32E-06,1.77E-06,1.41E-06,1.17E-06,9.87E-07,8.47E-07
1815,2.31E-06,1.76E-06,1.41E-06,1.16E-06,9.84E-07,8.46E-07
1822.5,2.30E-06,1.75E-06,1.40E-06,1.16E-06,9.83E-07,8.45E-07
1830,2.29E-06,1.75E-06,1.40E-06,1.16E-06,9.83E-07,8.45E-07
1837.5,2.28E-06,1.74E-06,1.40E-06,1.16E-06,9.81E-07,8.45E-07
1845,2.27E-06,1.74E-06,1.40E-06,1.16E-06,9.81E-07,8.44E-07
1852.5,2.26E-06,1.73E-06,1.39E-06,1.16E-06,9.80E-07,8.44E-07
1860,2.25E-06,1.73E-06,1.39E-06,1.15E-06,9.79E-07,8.44E-07
1867.5,2.24E-06,1.72E-06,1.39E-06,1.15E-06,9.79E-07,8.45E-07
1875,2.23E-06,1.72E-06,1.38E-06,1.15E-06,9.80E-07,8.46E-07
1882.5,2.23E-06,1.71E-06,1.38E-06,1.15E-06,9.81E-07,8.48E-07
1890,2.22E-06,1.71E-06,1.38E-06,1.15E-06,9.81E-07,8.49E-07
1897.5,2.21E-06,1.71E-06,1.38E-06,1.15E-06,9.82E-07,8.50E-07
1905,2.20E-06,1.70E-06,1.38E-06,1.15E-06,9.84E-07,8.53E-07
1912.5,2.19E-06,1.70E-06,1.38E-06,1.15E-06,9.83E-07,8.53E-07
1920,2.18E-06,1.69E-06,1.37E-06,1.15E-06,9.81E-07,8.51E-07
1927.5,2.17E-06,1.68E-06,1.36E-06,1.14E-06,9.77E-07,8.49E-07
1935,2.16E-06,1.67E-06,1.36E-06,1.14E-06,9.74E-07,8.46E-07
1942.5,2.14E-06,1.66E-06,1.35E-06,1.13E-06,9.69E-07,8.42E-07
1950,2.13E-06,1.66E-06,1.35E-06,1.13E-06,9.66E-07,8.40E-07
1957.5,2.12E-06,1.65E-06,1.34E-06,1.12E-06,9.63E-07,8.38E-07
1965,2.11E-06,1.64E-06,1.34E-06,1.12E-06,9.61E-07,8.37E-07
1972.5,2.10E-06,1.64E-06,1.33E-06,1.12E-06,9.60E-07,8.36E-07
1980,2.09E-06,1.63E-06,1.33E-06,1.12E-06,9.59E-07,8.36E-07
1987.5,2.08E-06,1.63E-06,1.33E-06,1.12E-06,9.59E-07,8.37E-07
1995,2.08E-06,1.62E-06,1.33E-06,1.12E-06,9.61E-07,8.40E-07
2002.5,2.07E-06,1.62E-06,1.33E-06,1.12E-06,9.65E-07,8.45E-07
2010,2.07E-06,1.62E-06,1.33E-06,1.12E-06,9.69E-07,8.49E-07
2017.5,2.06E-06,1.62E-06,1.33E-06,1.13E-06,9.74E-07,8.55E-07
2025,2.06E-06,1.62E-06,1.33E-06,1.13E-06,9.76E-07,8.58E-07
2032.5,2.05E-06,1.62E-06,1.33E-06,1.13E-06,9.77E-07,8.60E-07
2040,2.04E-06,1.61E-06,1.33E-06,1.13E-06,9.78E-07,8.62E-07
2047.5,2.03E-06,1.61E-06,1.32E-06,1.12E-06,9.76E-07,8.61E-07
2055,2.02E-06,1.60E-06,1.32E-06,1.12E-06,9.74E-07,8.59E-07
2062.5,2.01E-06,1.59E-06,1.31E-06,1.12E-06,9.71E-07,8.57E-07
2070,2.00E-06,1.58E-06,1.31E-06,1.11E-06,9.68E-07,8.55E-07
2077.5,1.99E-06,1.57E-06,1.30E-06,1.11E-06,9.65E-07,8.53E-07
2085,1.97E-06,1.56E-06,1.29E-06,1.10E-06,9.61E-07,8.50E-07
2092.5,1.96E-06,1.56E-06,1.29E-06,1.10E-06,9.58E-07,8.48E-07
2100,1.95E-06,1.55E-06,1.28E-06,1.09E-06,9.55E-07,8.46E-07
2107.5,1.94E-06,1.54E-06,1.28E-06,1.09E-06,9.53E-07,8.45E-07
2115,1.93E-06,1.53E-06,1.27E-06,1.09E-06,9.51E-07,8.44E-07
2122.5,1.92E-06,1.52E-06,1.27E-06,1.08E-06,9.46E-07,8.40E-07
2130,1.90E-06,1.51E-06,1.26E-06,1.08E-06,9.41E-07,8.36E-07
2137.5,1.89E-06,1.50E-06,1.25E-06,1.07E-06,9.36E-07,8.32E-07
2145,1.87E-06,1.49E-06,1.24E-06,1.06E-06,9.29E-07,8.26E-07
2152.5,1.85E-06,1.48E-06,1.23E-06,1.05E-06,9.22E-07,8.20E-07
2160,1.84E-06,1.47E-06,1.22E-06,1.04E-06,9.15E-07,8.14E-07
2167.5,1.82E-06,1.45E-06,1.21E-06,1.04E-06,9.08E-07,8.08E-07
2175,1.81E-06,1.44E-06,1.20E-06,1.03E-06,9.00E-07,8.01E-07
2182.5,1.79E-06,1.43E-06,1.19E-06,1.02E-06,8.92E-07,7.95E-07
2190,1.77E-06,1.42E-06,1.18E-06,1.01E-06,8.86E-07,7.89E-07
2197.5,1.76E-06,1.40E-06,1.17E-06,1.00E-06,8.79E-07,7.84E-07
2205,1.74E-06,1.39E-06,1.16E-06,9.95E-07,8.72E-07,7.78E-07
2212.5,1.73E-06,1.38E-06,1.15E-06,9.86E-07,8.65E-07,7.72E-07
2220,1.72E-06,1.37E-06,1.14E-06,9.79E-07,8.59E-07,7.67E-07
2227.5,1.70E-06,1.36E-06,1.13E-06,9.72E-07,8.54E-07,7.62E-07
2235,1.69E-06,1.35E-06,1.12E-06,9.63E-07,8.46E-07,7.55E-07
2242.5,1.67E-06,1.33E-06,1.11E-06,9.55E-07,8.38E-07,7.48E-07
2250,1.65E-06,1.32E-06,1.10E-06,9.44E-07,8.29E-07,7.40E-07
2257.5,1.63E-06,1.31E-06,1.09E-06,9.33E-07,8.19E-07,7.31E-07
2265,1.62E-06,1.29E-06,1.07E-06,9.21E-07,8.08E-07,7.21E-07
2272.5,1.60E-06,1.27E-06,1.06E-06,9.09E-07,7.97E-07,7.11E-07
2280,1.58E-06,1.26E-06,1.05E-06,8.96E-07,7.85E-07,7.00E-07
2287.5,1.56E-06,1.24E-06,1.03E-06,8.82E-07,7.72E-07,6.88E-07
2295,1.53E-06,1.22E-06,1.01E-06,8.66E-07,7.58E-07,6.75E-07
2302.5,1.51E-06,1.20E-06,9.94E-07,8.49E-07,7.43E-07,6.60E-07
2310,1.49E-06,1.18E-06,9.79E-07,8.35E-07,7.29E-07,6.48E-07
